,Date,Open,Close,Change (%)
0,2019-01-29,323.0,322.0,+1.58%
1,2019-01-28,323.0,317.0,-2.04%
2,2019-01-25,315.8,323.6,+2.47%
3,2019-01-24,319.0,315.8,-0.38%
4,2019-01-23,324.4,317.0,-2.46%
5,2019-01-22,325.0,325.0,-0.06%
6,2019-01-21,324.6,325.2,+0.12%
7,2019-01-18,315.0,324.8,+3.77%
8,2019-01-17,308.0,313.0,+1.95%
9,2019-01-16,315.2,307.0,-2.54%
10,2019-01-15,324.0,315.0,-2.78%
11,2019-01-14,316.6,324.0,+2.34%
12,2019-01-11,314.0,316.6,+0.83%
13,2019-01-10,318.0,314.0,-1.57%
14,2019-01-09,321.0,319.0,-0.62%
15,2019-01-08,323.0,321.0,-0.62%
16,2019-01-07,309.0,323.0,+4.53%
17,2019-01-04,293.8,309.0,+5.82%
18,2019-01-03,292.8,292.0,-0.34%
19,2019-01-02,292.0,293.0,+0.41%
20,2019-01-01,295.0,291.8,+0.00%
21,2018-12-31,295.0,291.8,+0.00%
22,2018-12-28,295.0,291.8,-1.08%
23,2018-12-27,292.0,295.0,+1.03%
24,2018-12-26,298.0,292.0,-3.44%
25,2018-12-25,303.0,302.4,+0.00%
26,2018-12-24,303.0,302.4,+0.00%
27,2018-12-21,303.0,302.4,-0.2%
28,2018-12-20,305.6,303.0,-0.66%
29,2018-12-19,300.0,305.0,+1.26%
30,2018-12-18,301.0,301.2,+0.40%
31,2018-12-17,298.0,300.0,+0.67%
32,2018-12-14,295.0,298.0,+1.15%
33,2018-12-13,294.0,294.6,+0.20%
34,2018-12-12,296.0,294.0,-1.01%
35,2018-12-11,290.0,297.0,+2.06%
36,2018-12-10,294.0,291.0,-1.36%
37,2018-12-07,295.6,295.0,-0.34%
38,2018-12-06,294.4,296.0,+0.68%
39,2018-12-05,289.0,294.0,+1.52%
40,2018-12-04,286.8,289.6,+0.98%
41,2018-12-03,278.6,286.8,+3.02%
42,2018-11-30,280.0,278.4,+0.00%
43,2018-11-29,280.0,278.4,-0.57%
44,2018-11-28,282.0,280.0,-1.06%
45,2018-11-27,280.6,283.0,+1.07%
46,2018-11-26,282.8,280.0,-1.06%
47,2018-11-23,283.2,283.0,-0.7%
48,2018-11-22,279.8,285.0,+1.06%
49,2018-11-21,279.0,282.0,+1.08%
50,2018-11-20,282.0,279.0,-1.06%
51,2018-11-19,280.0,282.0,+0.00%
52,2018-11-16,284.8,282.0,+0.71%
53,2018-11-15,278.8,280.0,+2.64%
54,2018-11-14,272.8,272.8,+0.00%
55,2018-11-13,273.2,272.8,-0.44%
56,2018-11-12,276.0,274.0,-1.44%
57,2018-11-09,279.0,278.0,-0.71%
58,2018-11-08,278.8,280.0,+0.00%
59,2018-11-07,278.6,280.0,+0.50%
60,2018-11-06,280.0,278.6,-0.5%
61,2018-11-05,275.0,280.0,+1.45%
62,2018-11-02,267.8,276.0,+0.00%
63,2018-11-01,267.8,276.0,+0.00%
64,2018-10-31,267.8,276.0,+4.55%
65,2018-10-30,267.0,264.0,-2.22%
66,2018-10-29,270.0,270.0,+0.00%
67,2018-10-26,262.0,270.0,+3.05%
68,2018-10-25,261.6,262.0,-0.83%
69,2018-10-24,268.0,264.2,-1.42%
70,2018-10-23,271.8,268.0,-1.47%
71,2018-10-22,265.0,272.0,+2.64%
72,2018-10-19,258.4,265.0,+1.92%
73,2018-10-18,258.6,260.0,+0.54%
74,2018-10-17,254.2,258.6,+1.73%
75,2018-10-16,252.0,254.2,+1.68%
76,2018-10-15,262.0,250.0,-4.58%
77,2018-10-12,253.0,262.0,+3.15%
78,2018-10-11,246.2,254.0,+0.00%
79,2018-10-10,253.8,254.0,+0.63%
80,2018-10-09,243.2,252.4,+3.87%
81,2018-10-08,247.0,243.0,-1.62%
82,2018-10-05,251.0,247.0,-1.98%
83,2018-10-04,253.0,252.0,+0.00%
84,2018-10-03,251.0,252.0,+0.80%
85,2018-10-02,252.2,250.0,-0.79%
86,2018-10-01,257.2,252.0,-1.95%
87,2018-09-28,262.0,257.0,-0.77%
88,2018-09-27,266.0,259.0,-2.7%
89,2018-09-26,268.8,266.2,-0.97%
90,2018-09-25,271.8,268.8,-0.81%
91,2018-09-24,272.4,271.0,-0.37%
92,2018-09-21,273.8,272.0,+0.37%
93,2018-09-20,271.0,271.0,+2.65%
94,2018-09-19,272.0,264.0,-2.94%
95,2018-09-18,274.8,272.0,-1.09%
96,2018-09-17,269.0,275.0,+2.23%
97,2018-09-14,273.0,269.0,-2.89%
98,2018-09-13,270.0,277.0,+2.97%
99,2018-09-12,276.0,269.0,-2.54%
100,2018-09-11,278.4,276.0,-0.86%
101,2018-09-10,280.8,278.4,-0.93%
102,2018-09-07,277.0,281.0,+1.81%
103,2018-09-06,282.2,276.0,-3.16%
104,2018-09-05,286.6,285.0,-0.56%
105,2018-09-04,282.0,286.6,+1.63%
106,2018-09-03,288.0,282.0,-2.08%
107,2018-08-31,287.8,288.0,+0.70%
108,2018-08-30,285.8,286.0,-0.49%
109,2018-08-29,288.8,287.4,-0.96%
110,2018-08-28,287.2,290.2,+0.76%
111,2018-08-27,293.0,288.0,+0.00%
112,2018-08-24,293.0,288.0,-1.71%
113,2018-08-23,287.0,293.0,+2.45%
114,2018-08-22,275.0,286.0,+4.76%
115,2018-08-21,271.6,273.0,+0.00%
116,2018-08-20,271.6,273.0,+0.66%
117,2018-08-17,266.6,271.2,+1.65%
118,2018-08-16,270.4,266.8,-2.63%
119,2018-08-15,273.4,274.0,+0.22%
120,2018-08-14,270.2,273.4,+1.26%
121,2018-08-13,266.0,270.0,+1.12%
122,2018-08-10,269.0,267.0,-0.74%
123,2018-08-09,274.0,269.0,-2.82%
124,2018-08-08,271.0,276.8,+2.52%
125,2018-08-07,279.8,270.0,-3.57%
126,2018-08-06,277.0,280.0,+1.08%
127,2018-08-03,275.0,277.0,+0.36%
128,2018-08-02,279.0,276.0,-1.22%
129,2018-08-01,270.0,279.4,+3.48%
130,2018-07-31,265.8,270.0,+1.50%
131,2018-07-31,265.8,270.0,+1.50%
132,2018-07-30,265.0,266.0,+0.00%
133,2018-07-27,257.0,266.0,+3.83%
134,2018-07-26,253.0,256.2,+1.99%
135,2018-07-25,251.0,251.2,+0.08%
136,2018-07-24,250.4,251.0,+0.40%
137,2018-07-23,250.0,250.0,+0.00%
138,2018-07-20,250.6,250.0,-1.19%
139,2018-07-19,254.2,253.0,-0.47%
140,2018-07-18,252.6,254.2,+0.63%
141,2018-07-17,249.0,252.6,+1.53%
142,2018-07-16,252.0,248.8,-1.19%
143,2018-07-13,252.0,251.8,+0.80%
144,2018-07-12,249.0,249.8,+1.05%
145,2018-07-11,246.0,247.2,+0.49%
146,2018-07-10,245.2,246.0,+0.41%
147,2018-07-09,251.8,245.0,-2.39%
148,2018-07-06,254.0,251.0,-1.18%
149,2018-07-05,259.8,254.0,-2.23%
150,2018-07-04,260.0,259.8,-0.08%
151,2018-07-03,260.0,260.0,+0.00%
152,2018-07-02,263.0,260.0,-1.14%
153,2018-06-29,259.8,263.0,+1.31%
154,2018-06-28,270.0,259.6,-4.21%
155,2018-06-27,270.8,271.0,+0.15%
156,2018-06-26,269.0,270.6,+0.82%
157,2018-06-25,275.0,268.4,+0.52%
158,2018-06-22,270.0,267.0,-1.11%
159,2018-06-21,279.0,270.0,-4.93%
160,2018-06-20,284.0,284.0,+0.00%
161,2018-06-19,276.2,284.0,+2.45%
162,2018-06-18,279.2,277.2,-0.72%
163,2018-06-15,278.4,279.2,+0.00%
164,2018-06-14,278.4,279.2,+0.07%
165,2018-06-13,281.0,279.0,-2.11%
166,2018-06-12,284.0,285.0,+0.00%
167,2018-06-11,284.0,285.0,+0.35%
168,2018-06-08,283.0,284.0,+0.50%
169,2018-06-07,280.8,282.6,+0.86%
170,2018-06-06,280.2,280.2,+0.00%
171,2018-06-05,280.4,280.2,-0.07%
172,2018-06-04,284.0,280.4,-1.2%
173,2018-06-01,280.0,283.8,+3.58%
174,2018-05-31,280.0,274.0,-2.14%
175,2018-05-30,280.0,280.0,-1.06%
176,2018-05-29,280.2,283.0,+0.93%
177,2018-05-28,281.2,280.4,-0.28%
178,2018-05-25,285.0,281.2,-1.33%
179,2018-05-24,287.0,285.0,-0.7%
180,2018-05-23,285.0,287.0,+1.06%
181,2018-05-22,285.0,284.0,+1.43%
182,2018-05-21,284.0,280.0,-1.75%
183,2018-05-18,285.0,285.0,+0.00%
184,2018-05-17,286.0,285.0,-0.56%
185,2018-05-16,283.0,286.6,+1.27%
186,2018-05-15,283.0,283.0,-0.7%
187,2018-05-14,280.8,285.0,+0.00%
188,2018-05-11,280.8,285.0,+1.86%
189,2018-05-10,285.8,279.8,-1.13%
190,2018-05-09,279.0,283.0,+1.80%
191,2018-05-08,279.0,278.0,-0.36%
192,2018-05-07,276.0,279.0,+1.31%
193,2018-05-04,276.0,275.4,+0.15%
194,2018-05-03,285.0,275.0,-2.83%
195,2018-05-03,285.0,275.0,-2.83%
196,2018-05-02,286.0,283.0,-0.7%
197,2018-05-01,283.0,285.0,+0.00%
198,2018-04-30,283.0,285.0,+1.06%
199,2018-04-27,282.2,282.0,+0.71%
200,2018-04-26,280.0,280.0,-0.57%
201,2018-04-25,285.4,281.6,-1.19%
202,2018-04-24,292.0,285.0,-3.06%
203,2018-04-23,291.0,294.0,+1.03%
204,2018-04-20,288.0,291.0,+2.11%
205,2018-04-19,289.0,285.0,-3.13%
206,2018-04-18,288.6,294.2,+1.94%
207,2018-04-17,291.6,288.6,-1.03%
208,2018-04-16,295.0,291.6,-0.21%
209,2018-04-13,298.0,292.2,-2.6%
210,2018-04-12,289.8,300.0,+3.59%
211,2018-04-11,284.0,289.6,+1.97%
212,2018-04-10,278.0,284.0,+2.16%
213,2018-04-09,281.0,278.0,+0.00%
214,2018-04-06,281.0,278.0,-0.71%
215,2018-04-05,285.0,280.0,-1.75%
216,2018-04-04,296.0,285.0,-5%
217,2018-04-03,300.0,300.0,+0.00%
218,2018-04-02,296.0,300.0,+0.33%
219,2018-03-30,295.0,299.0,+0.00%
220,2018-03-29,295.0,299.0,+0.00%
221,2018-03-28,295.0,299.0,+1.56%
222,2018-03-27,295.0,294.4,-0.2%
223,2018-03-26,286.6,295.0,+2.43%
224,2018-03-23,285.0,288.0,+0.42%
225,2018-03-22,285.4,286.8,+0.63%
226,2018-03-21,286.6,285.0,-0.35%
227,2018-03-20,296.8,286.0,-4.03%
228,2018-03-19,299.6,298.0,-2.42%
229,2018-03-16,286.8,305.4,+7.54%
230,2018-03-15,288.4,284.0,-1.53%
231,2018-03-14,293.0,288.4,-1.57%
232,2018-03-13,296.0,293.0,-0.81%
233,2018-03-12,296.0,295.4,+1.16%
234,2018-03-09,297.0,292.0,-1.02%
235,2018-03-08,303.0,295.0,-2.96%
236,2018-03-07,300.0,304.0,+1.81%
237,2018-03-06,300.0,298.6,-0.33%
238,2018-03-05,299.0,299.6,+0.54%
239,2018-03-02,297.6,298.0,+0.13%
240,2018-03-01,297.6,297.6,-0.27%
241,2018-02-28,295.0,298.4,+1.15%
242,2018-02-27,292.0,295.0,+1.03%
243,2018-02-26,282.0,292.0,+3.55%
244,2018-02-23,285.0,282.0,+0.00%
245,2018-02-22,283.4,282.0,+0.00%
246,2018-02-21,285.6,282.0,-1.4%
247,2018-02-20,289.6,286.0,+0.35%
248,2018-02-19,283.8,285.0,+0.00%
249,2018-02-16,281.8,285.0,+0.00%
250,2018-02-15,281.8,285.0,+2.52%
251,2018-02-14,281.6,278.0,+0.36%
252,2018-02-13,283.0,277.0,-2.12%
253,2018-02-12,289.0,283.0,-3.08%
254,2018-02-09,289.8,292.0,-0.27%
255,2018-02-08,294.0,292.8,-0.14%
256,2018-02-07,290.0,293.2,+1.45%
257,2018-02-06,274.4,289.0,+2.48%
258,2018-02-05,290.0,282.0,-4.08%
259,2018-02-02,287.2,294.0,+2.37%
260,2018-02-01,284.8,287.2,+0.84%
261,2018-02-01,284.8,287.2,+0.84%
262,2018-01-31,284.2,284.8,+0.21%
263,2018-01-30,285.4,284.2,-0.42%
264,2018-01-29,292.0,285.4,-2.33%
265,2018-01-26,290.4,292.2,-0.27%
266,2018-01-25,282.0,293.0,+3.90%
267,2018-01-24,282.0,282.0,-0.07%
268,2018-01-23,282.6,282.2,-0.28%
269,2018-01-22,280.0,283.0,+1.07%
270,2018-01-19,278.0,280.0,+0.36%
271,2018-01-18,277.0,279.0,+0.50%
272,2018-01-17,277.4,277.6,+0.00%
273,2018-01-16,263.8,277.6,+5.23%
274,2018-01-15,257.0,263.8,+3.45%
275,2018-01-12,257.8,255.0,+0.00%
276,2018-01-11,255.4,255.0,-0.16%
277,2018-01-10,256.2,255.4,-0.16%
278,2018-01-09,256.0,255.8,-0.08%
279,2018-01-08,257.4,256.0,+0.39%
280,2018-01-05,255.6,255.0,+0.00%
281,2018-01-04,255.4,255.0,-0.16%
282,2018-01-03,253.4,255.4,+0.95%
283,2018-01-02,255.0,253.0,+0.00%
284,2018-01-01,255.0,253.0,+0.00%
285,2017-12-29,255.0,253.0,-0.39%
286,2017-12-28,248.8,254.0,+2.09%
287,2017-12-27,247.0,248.8,+0.73%
288,2017-12-26,247.8,247.0,+0.00%
289,2017-12-25,247.8,247.0,+0.00%
290,2017-12-22,247.8,247.0,-0.32%
291,2017-12-21,245.0,247.8,+1.64%
292,2017-12-20,246.4,243.8,-0.33%
293,2017-12-19,249.2,244.6,-1.92%
294,2017-12-18,246.0,249.4,+1.38%
295,2017-12-15,245.2,246.0,+0.82%
296,2017-12-14,248.0,244.0,-1.21%
297,2017-12-13,250.0,247.0,-0.96%
298,2017-12-12,249.4,249.4,+0.16%
299,2017-12-11,247.2,249.0,+0.08%
300,2017-12-08,247.0,248.8,+0.81%
301,2017-12-07,243.0,246.8,+1.56%
302,2017-12-06,243.2,243.0,-0.33%
303,2017-12-05,241.4,243.8,+0.99%
304,2017-12-04,245.4,241.4,-1.63%
305,2017-12-01,244.0,245.4,+0.74%
306,2017-11-30,252.4,243.6,+0.00%
307,2017-11-29,252.4,243.6,-3.33%
308,2017-11-28,254.0,252.0,-0.79%
309,2017-11-27,258.2,254.0,-1.7%
310,2017-11-24,253.2,258.4,+1.73%
311,2017-11-23,254.6,254.0,-0.39%
