,Date,Open,Close,Change (%)
0,2019-02-04,12.78,12.58,-1.41%
1,2019-02-01,12.46,12.76,+1.43%
2,2019-01-31,12.38,12.58,-0.16%
3,2019-01-30,12.5,12.6,+0.80%
4,2019-01-29,12.26,12.5,+2.12%
5,2019-01-28,12.04,12.24,+2.00%
6,2019-01-25,12.0,12.0,+0.00%
7,2019-01-24,12.2,12.0,-1.48%
8,2019-01-23,11.92,12.18,+1.50%
9,2019-01-22,12.3,12.0,-2.12%
10,2019-01-21,12.12,12.26,+1.16%
11,2019-01-18,12.48,12.12,-3.04%
12,2019-01-17,12.4,12.5,+0.81%
13,2019-01-16,12.54,12.4,-1.59%
14,2019-01-15,12.7,12.6,-1.56%
15,2019-01-14,12.8,12.8,+0.00%
16,2019-01-11,12.82,12.8,-0.16%
17,2019-01-10,12.8,12.82,+1.26%
18,2019-01-09,12.62,12.66,+1.28%
19,2019-01-08,12.64,12.5,-0.79%
20,2019-01-07,12.78,12.6,-1.41%
21,2019-01-04,13.0,12.78,-1.69%
22,2019-01-03,12.62,13.0,+1.56%
23,2019-01-02,12.78,12.8,+0.16%
24,2019-01-01,12.56,12.78,+0.00%
25,2018-12-31,12.56,12.78,+0.00%
26,2018-12-28,12.56,12.78,+2.24%
27,2018-12-27,12.5,12.5,+0.00%
28,2018-12-26,12.5,12.5,-1.57%
29,2018-12-25,12.9,12.7,+0.00%
30,2018-12-24,12.9,12.7,+0.00%
31,2018-12-21,12.9,12.7,-1.55%
32,2018-12-20,12.8,12.9,+0.00%
33,2018-12-19,12.18,12.9,+6.79%
34,2018-12-18,12.08,12.08,+0.67%
35,2018-12-17,12.46,12.0,-3.23%
36,2018-12-14,12.86,12.4,-3.73%
37,2018-12-13,12.86,12.88,+0.78%
38,2018-12-12,12.5,12.78,+1.43%
39,2018-12-11,12.8,12.6,-0.79%
40,2018-12-10,12.6,12.7,+0.95%
41,2018-12-07,12.58,12.58,+0.00%
42,2018-12-06,12.92,12.58,-2.63%
43,2018-12-05,12.82,12.92,+0.16%
44,2018-12-04,13.0,12.9,-0.77%
45,2018-12-03,12.7,13.0,+5.35%
46,2018-11-30,12.8,12.34,+0.00%
47,2018-11-29,12.8,12.34,-4.34%
48,2018-11-28,13.8,12.9,-6.93%
49,2018-11-27,13.38,13.86,+3.59%
50,2018-11-26,13.06,13.38,+2.29%
51,2018-11-23,12.98,13.08,+1.40%
52,2018-11-22,12.78,12.9,+0.78%
53,2018-11-21,12.6,12.8,+1.59%
54,2018-11-20,13.06,12.6,-3.82%
55,2018-11-19,12.86,13.1,+3.15%
56,2018-11-16,12.7,12.7,+2.25%
57,2018-11-15,12.74,12.42,-1.27%
