,Date,Open,Close,Change (%)
0,2019-02-04,13.08,13.0,+0.00%
1,2019-02-01,12.8,13.0,+1.56%
2,2019-01-31,14.12,12.8,-9.48%
3,2019-01-30,15.0,14.14,+1.00%
4,2019-01-29,13.3,14.0,+7.03%
5,2019-01-28,13.5,13.08,-6.17%
6,2019-01-25,16.0,13.94,-12.66%
7,2019-01-24,12.76,15.96,+25.27%
8,2019-01-23,9.75,12.74,+41.56%
9,2019-01-22,9.0,9.0,+0.78%
10,2019-01-21,8.95,8.93,+0.34%
11,2019-01-18,8.99,8.9,+4.46%
12,2019-01-17,8.89,8.52,+0.24%
13,2019-01-16,8.99,8.5,-5.45%
14,2019-01-15,8.9,8.99,+3.33%
15,2019-01-14,8.35,8.7,-2.25%
16,2019-01-11,8.8,8.9,+1.14%
17,2019-01-10,8.8,8.8,+1.15%
18,2019-01-09,8.9,8.7,+0.58%
19,2019-01-08,8.7,8.65,-0.57%
20,2019-01-07,9.0,8.7,-2.25%
21,2019-01-04,8.33,8.9,+6.84%
22,2019-01-03,8.33,8.33,+0.00%
23,2019-01-02,8.33,8.33,+0.00%
24,2019-01-01,8.33,8.33,+0.00%
25,2018-12-31,8.33,8.33,+0.00%
26,2018-12-28,8.33,8.33,+0.36%
27,2018-12-27,8.3,8.3,+0.00%
28,2018-12-26,8.3,8.3,+0.00%
29,2018-12-25,8.3,8.3,+0.00%
30,2018-12-24,8.3,8.3,+0.00%
31,2018-12-21,8.3,8.3,-0.24%
32,2018-12-20,8.34,8.32,+0.24%
33,2018-12-19,8.46,8.3,+6.27%
34,2018-12-18,8.49,7.81,+1.03%
35,2018-12-17,7.71,7.73,+1.98%
36,2018-12-14,8.25,7.58,-8.12%
37,2018-12-13,8.25,8.25,+0.00%
38,2018-12-12,8.25,8.25,+0.00%
39,2018-12-11,8.25,8.25,-3.4%
40,2018-12-10,8.54,8.54,+0.00%
41,2018-12-07,8.2,8.54,+3.39%
42,2018-12-06,8.25,8.26,+0.00%
43,2018-12-05,8.26,8.26,-0.24%
44,2018-12-04,8.39,8.28,+3.50%
45,2018-12-03,7.9,8.0,+0.00%
46,2018-11-30,7.9,8.0,+0.00%
47,2018-11-29,7.9,8.0,+0.00%
48,2018-11-28,8.39,8.0,+0.00%
49,2018-11-27,8.0,8.0,-2.32%
50,2018-11-26,7.8,8.19,+6.36%
51,2018-11-23,7.63,7.7,+0.92%
52,2018-11-22,7.63,7.63,-2.18%
53,2018-11-21,7.8,7.8,+0.00%
54,2018-11-20,7.8,7.8,+0.00%
55,2018-11-19,7.8,7.8,-2.5%
56,2018-11-16,7.99,8.0,+0.13%
57,2018-11-15,7.63,7.99,+4.72%
58,2018-11-14,7.63,7.63,+0.00%
59,2018-11-13,7.63,7.63,-2.18%
60,2018-11-12,8.0,7.8,-2.5%
61,2018-11-09,8.0,8.0,+0.00%
62,2018-11-08,7.61,8.0,+5.12%
63,2018-11-07,8.38,7.61,-0.26%
64,2018-11-06,8.29,7.63,-7.96%
65,2018-11-05,8.29,8.29,-1.31%
66,2018-10-31,8.4,8.4,+0.00%
67,2018-10-30,8.0,8.4,+0.00%
68,2018-10-29,8.4,8.4,-1.06%
69,2018-10-26,8.3,8.49,+2.54%
70,2018-10-25,8.3,8.28,-1.31%
71,2018-10-24,8.3,8.39,+1.21%
72,2018-10-23,8.29,8.29,-1.19%
73,2018-10-22,8.38,8.39,+0.12%
74,2018-10-19,8.38,8.38,+9.54%
75,2018-10-18,7.65,7.65,-4.38%
76,2018-10-17,8.32,8.0,-3.61%
77,2018-10-16,8.3,8.3,+9.93%
78,2018-10-15,7.55,7.55,+0.00%
79,2018-10-12,7.55,7.55,+0.67%
80,2018-10-11,8.2,7.5,-3.85%
81,2018-10-10,8.5,7.8,-7.14%
82,2018-10-09,8.85,8.4,-1.18%
83,2018-10-08,8.6,8.5,-3.95%
84,2018-10-05,8.85,8.85,-0.56%
85,2018-10-04,8.9,8.9,+3.49%
86,2018-10-03,8.6,8.6,-0.81%
87,2018-10-02,8.67,8.67,+4.96%
88,2018-10-01,8.26,8.26,+0.12%
89,2018-09-28,8.2,8.25,+0.49%
90,2018-09-27,8.21,8.21,-2.26%
91,2018-09-26,8.9,8.4,-3.45%
92,2018-09-25,8.8,8.7,+2.35%
93,2018-09-24,8.9,8.5,+0.00%
94,2018-09-21,8.5,8.5,-3.41%
95,2018-09-20,8.8,8.8,+0.00%
96,2018-09-19,8.8,8.8,+0.00%
97,2018-09-18,8.8,8.8,-1.12%
98,2018-09-17,8.55,8.9,+1.25%
99,2018-09-14,8.79,8.79,+0.00%
100,2018-09-13,8.79,8.79,+0.00%
101,2018-09-12,8.8,8.79,-0.11%
102,2018-09-11,8.9,8.8,-1.12%
103,2018-09-10,9.3,8.9,-4.3%
104,2018-09-07,8.8,9.3,+5.68%
105,2018-09-06,8.8,8.8,-2.22%
106,2018-09-05,9.0,9.0,+0.00%
107,2018-09-04,8.8,9.0,+2.27%
108,2018-09-03,8.8,8.8,+0.00%
109,2018-08-31,8.7,8.8,+1.15%
110,2018-08-30,8.7,8.7,+0.58%
111,2018-08-29,8.5,8.65,-0.46%
112,2018-08-28,8.21,8.69,-0.11%
113,2018-08-27,8.71,8.7,+0.00%
114,2018-08-24,8.71,8.7,+1.16%
115,2018-08-23,8.68,8.6,+1.78%
116,2018-08-22,8.55,8.45,-0.59%
117,2018-08-21,8.7,8.5,+0.00%
118,2018-08-20,8.7,8.5,+3.66%
119,2018-08-17,8.25,8.2,-0.49%
120,2018-08-16,8.5,8.24,-3.06%
121,2018-08-15,8.54,8.5,-0.47%
122,2018-08-14,8.6,8.54,-1.04%
123,2018-08-13,8.63,8.63,+0.00%
124,2018-08-10,8.53,8.63,+1.53%
125,2018-08-09,8.84,8.5,-4.28%
126,2018-08-08,8.88,8.88,-0.22%
127,2018-08-07,8.9,8.9,+0.23%
128,2018-08-06,8.9,8.88,-0.22%
129,2018-08-06,8.9,8.88,-0.22%
130,2018-08-03,8.9,8.9,+2.89%
131,2018-08-02,8.7,8.65,-0.57%
132,2018-08-01,8.77,8.7,-2.25%
133,2018-07-31,8.9,8.9,-1.11%
134,2018-07-30,8.7,9.0,+3.45%
135,2018-07-27,8.9,8.7,-2.25%
136,2018-07-26,8.63,8.9,+2.77%
137,2018-07-25,8.66,8.66,+0.00%
138,2018-07-24,8.9,8.66,+3.10%
139,2018-07-23,8.75,8.4,-4.55%
140,2018-07-20,8.8,8.8,+0.00%
141,2018-07-19,8.7,8.8,+1.15%
142,2018-07-18,8.7,8.7,+0.00%
143,2018-07-17,8.7,8.7,+0.00%
144,2018-07-16,8.7,8.7,+2.59%
145,2018-07-13,7.9,8.48,+0.95%
146,2018-07-12,8.4,8.4,+0.00%
147,2018-07-11,8.4,8.4,-1.06%
148,2018-07-10,8.49,8.49,+0.00%
149,2018-07-09,8.1,8.49,+2.29%
150,2018-07-06,8.3,8.3,+0.00%
151,2018-07-05,8.49,8.3,-2.58%
152,2018-07-04,8.52,8.52,+0.24%
153,2018-07-03,9.0,8.5,+0.00%
154,2018-07-02,8.0,8.5,-1.05%
155,2018-06-29,8.6,8.59,-0.69%
156,2018-06-28,8.65,8.65,+0.00%
157,2018-06-27,8.65,8.65,-0.12%
158,2018-06-26,9.17,8.66,+0.70%
159,2018-06-25,8.82,8.6,-2.27%
160,2018-06-22,9.0,8.8,-4.24%
161,2018-06-21,9.3,9.19,+2.11%
162,2018-06-20,9.55,9.0,+2.27%
163,2018-06-19,9.0,8.8,-2.22%
164,2018-06-18,9.02,9.0,-1.1%
165,2018-06-15,9.15,9.1,+0.00%
166,2018-06-14,9.15,9.1,-0.55%
